Alexitol Sodium                                             ,         
Almasilate                                                  ,         
Aluminium Hydroxide                                         ,         
Aluminium Hydroxide With Magnesium                          ,         
Hydrotalcite                                                ,         
Magnesium Carbonate                                         ,         
Co-Magaldrox(Magnesium/Aluminium Hydrox)                    ,         
Magnesium Oxide                                             ,         
Magnesium Trisilicate                                       ,         
Aluminium & Magnesium & Act Simeticone                      ,         
Magaldrate                                                  ,         
Aluminium & Magnesium & Oxetacaine                          ,         
Co-Simalcite (Simeticone/Hydrotalcite)                      ,         
Magnesium Hydroxide                                         ,         
Simeticone                                                  ,         
Calcium Carbonate & Simeticone                              ,         
Magnesium Sulphate                                          ,         
Sodium Citrate                                              ,         
Other Antacid & Simeticone Preps                            ,         
Gripe Mixtures                                              ,         
Sodium Bicarbonate                                          ,         
Other Sodium Bicarbonate Preps                              ,         
Alginic Acid Compound Preparations                          ,         
Calcium Carbonate                                           ,         
Bismuth Subcarbonate                                        ,         
Compound Alginates&Prop Indigestion Prep                    ,         
Clebopride                                                  ,         
Hyoscyamine Sulfate                                         ,         
Atropine Sulfate                                            ,         
Pinaverium Bromide                                          ,         
Phloroglucinol                                              ,         
Tegaserod Maleate                                           ,         
Lubiprostone                                                ,         
Alverine Citrate/Simeticone                                 ,         
Eluxadoline                                                 ,         
Alverine Citrate                                            ,         
Ambutonium Bromide                                          ,         
Alverine Citrate Compound Preparations                      ,         
Compound Antispasmodic Preparations                         ,         
Gentian                                                     ,         
Atropine Methonitrate                                       ,         
Cisapride                                                   ,         
Belladonna Alkaloids                                        ,         
Clove Oil                                                   ,         
Dicycloverine Hydrochloride                                 ,         
Dicycloverine HCl Compound Preparations                     ,         
Glycopyrronium Bromide                                      ,         
Oxyphenonium Bromide                                        ,         
Hyoscine Butylbromide                                       ,         
Mebeverine Hydrochloride                                    ,         
Oxybutynin                                                  ,         
Mepenzolate Bromide                                         ,         
Penthienate Methobromide                                    ,         
Peppermint Oil                                              ,         
Pipenzolate Bromide                                         ,         
Piperidolate Hydrochloride                                  ,         
Poldine Metilsulfate                                        ,         
Mebeverine HCl Compound Preparations                        ,         
Propantheline Bromide                                       ,         
Pipenzolate Bromide Compound Prep's                         ,         
Other Antispasm & Alt Gut Motility Preps                    ,         
Papaverine Hydrochloride                                    ,         
Trospium Chloride                                           ,         
Other Test For Helicobacter Pylori Preps                    ,         
Cimetidine                                                  ,         
Cimetidine With Alginate                                    ,         
Famotidine                                                  ,         
Nizatidine                                                  ,         
Ranitidine Bismuth Citrate                                  ,         
Ranitidine Hydrochloride                                    ,         
Pirenzepine                                                 ,         
Bismuth Chelate                                             ,         
Sucralfate                                                  ,         
Tripotassium Dicitratobismuthate                            ,         
Misoprostol                                                 ,         
Helicobacter Pylori Eradication Therapy                     ,         
Esomeprazole                                                ,         
Lansoprazole                                                ,         
Omeprazole                                                  ,         
Pantoprazole                                                ,         
Rabeprazole Sodium                                          ,         
Carbenoxolone Sodium                                        ,         
Carbenoxolone Sodium Compound Prep's                        ,         
Liquorice Deglycyrrhizinised                                ,         
Proglumide                                                  ,         
Ceratonia                                                   ,         
Activated Attapulgite                                       ,         
Chalk                                                       ,         
Kaolin Light                                                ,         
Other Adsorbent & Bulk-Forming Preps                        ,         
Codeine Phosphate Compound Mixtures                         ,         
Co-Phenotrope (Diphenox HCl/Atrop Sulph)                    ,         
Loperamide Hydrochloride                                    ,         
Opium & Morphine                                            ,         
Loperamide Hydrochloride & Simeticone                       ,         
Other Antimotility Preps                                    ,         
Racecadotril                                                ,         
Other Chronic Bowel Disorder Preps                          ,         
Aminosalicylic Acid                                         ,         
Mesalazine (Systemic)                                       ,         
Olsalazine Sodium                                           ,         
Balsalazide Sodium                                          ,         
Sulfasalazine                                               ,         
Budesonide                                                  ,         
Hydrocortisone Acetate                                      ,         
Hydrocortisone                                              ,         
Prednisolone Sodium Metasulphobenzoate                      ,         
Prednisolone Sodium Phosphate                               ,         
Prednisolone                                                ,         
Beclometasone Dipropionate (Systemic)                       ,         
Vedolizumab                                                 ,         
Ustekinumab (Crohn's)                                       ,         
Sodium Cromoglicate                                         ,         
Bran                                                        ,         
Carmellose Sodium                                           ,         
Ispaghula Husk                                              ,         
Methylcellulose                                             ,         
Sterculia                                                   ,         
Other Bulk-Forming Laxative Preps                           ,         
Aloes                                                       ,         
Co-Danthramer (Dantron/Poloxamer 188)                       ,         
Bisacodyl                                                   ,         
Cascara                                                     ,         
Castor Oil                                                  ,         
Colocynth & Jalap                                           ,         
Docusate Sodium                                             ,         
Co-Danthrusate (Dantron/Docusate Sod)                       ,         
Fig                                                         ,         
Glycerol                                                    ,         
Senna                                                       ,         
Phenolphthalein                                             ,         
Sodium Picosulfate                                          ,         
Oxyphenisatine                                              ,         
Rhubarb                                                     ,         
Sulfur Precipitated                                         ,         
Phenolphthalein & Rhubarb                                   ,         
Other Stimulant Laxative Preps                              ,         
Arachis Oil                                                 ,         
Liquid Paraffin                                             ,         
Olive Oil                                                   ,         
Soft Soap                                                   ,         
Other Faecal Softener Preps                                 ,         
Lactitol                                                    ,         
Lactulose                                                   ,         
Magnesium Hydroxide                                         ,         
Magnesium Sulfate                                           ,         
Macrogol 3350                                               ,         
Phosphates (Rectal)                                         ,         
Sodium Citrate (Rectal)                                     ,         
Sodium Potassium Tartrate                                   ,         
Macrogol 4000                                               ,         
Other Osmotic Laxative Preps                                ,         
Bowel Cleansing Solutions                                   ,         
Magnesium Citrate                                           ,         
Mannitol                                                    ,         
Sodium Picosulfate                                          ,         
Potassium Chloride                                          ,         
Methylnaltrexone Bromide                                    ,         
Naloxegol                                                   ,         
Prucalopride                                                ,         
